file,latitude,longitude,elevation,K_percent,U_ppm,Th_ppm,K_from_PADK,K_from_PADU,K_from_PADTh,U_from_PADK,U_from_PADU,U_from_PADTh,Th_from_PADK,Th_from_PADU,Th_from_PADTh,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000087.spc,53.2689390000,-9.0491690000,39.4,4.570,27.720,77.385,3.1861,0.7394,0.6447,0.6419,25.8278,1.2499,1.1814,2.7932,73.4106,0.4651,0.6320,0.6579,0.9999
spect_000088.spc,53.2778940000,-9.0512090000,42.1,4.759,27.025,75.570,3.4113,0.7191,0.6287,0.6872,25.1188,1.2189,1.2649,2.7165,71.5881,0.4980,0.6146,0.6415,0.9999
spect_000089.spc,53.2681210000,-9.0492510000,62.8,4.687,27.039,71.814,3.3698,0.7216,0.5958,0.6789,25.2055,1.1551,1.2496,2.7259,67.8381,0.4919,0.6167,0.6079,1.0000
spect_000090.spc,53.2656820000,-9.0486600000,44.7,4.730,26.128,74.497,3.4156,0.6939,0.6201,0.6881,24.2381,1.2022,1.2665,2.6213,70.6089,0.4986,0.5931,0.6328,1.0000
spect_000091.spc,53.2612060000,-9.0483490000,59.8,4.730,25.236,68.345,3.4930,0.6709,0.5666,0.7037,23.4340,1.0985,1.2952,2.5343,64.5157,0.5099,0.5734,0.5781,0.9999
spect_000092.spc,53.2712970000,-9.0419340000,60.5,4.994,27.004,78.730,3.6221,0.7157,0.6559,0.7297,25.0023,1.2716,1.3431,2.7039,74.6832,0.5288,0.6118,0.6693,0.9998
spect_000093.spc,53.2791680000,-9.0476990000,45.9,4.399,25.729,69.074,3.1390,0.6866,0.5736,0.6324,23.9849,1.1121,1.1640,2.5939,65.3165,0.4583,0.5869,0.5853,0.9999
spect_000094.spc,53.2776110000,-9.0450990000,38.9,4.824,27.047,66.289,3.5543,0.7235,0.5466,0.7161,25.2714,1.0597,1.3180,2.7330,62.2379,0.5189,0.6183,0.5577,1.0000
spect_000095.spc,53.2761970000,-9.0467900000,47.4,4.950,26.960,70.324,3.6502,0.7184,0.5819,0.7354,25.0962,1.1281,1.3535,2.7141,66.2566,0.5329,0.6140,0.5938,1.0000
spect_000096.spc,53.2775400000,-9.0517720000,49.3,4.517,28.919,69.309,3.1662,0.7778,0.5726,0.6379,27.1709,1.1101,1.1740,2.9385,65.1966,0.4622,0.6648,0.5843,0.9999
spect_000097.spc,53.2710270000,-9.0513990000,37.2,4.351,28.080,69.873,3.0179,0.7543,0.5788,0.6080,26.3496,1.1221,1.1190,2.8497,65.9043,0.4406,0.6447,0.5906,0.9999
spect_000098.spc,53.2632480000,-9.0522670000,39.2,5.211,27.847,72.242,3.8717,0.7417,0.5972,0.7800,25.9095,1.1579,1.4356,2.8021,68.0039,0.5652,0.6339,0.6094,1.0000
spect_000099.spc,53.2633510000,-9.0427900000,38.3,4.453,28.244,75.358,3.0701,0.7561,0.6267,0.6185,26.4102,1.2151,1.1384,2.8562,71.3631,0.4482,0.6462,0.6395,0.9999
spect_000100.spc,53.2651570000,-9.0436450000,39.5,4.723,28.716,71.924,3.3581,0.7696,0.5952,0.6765,26.8851,1.1539,1.2452,2.9076,67.7716,0.4902,0.6578,0.6073,0.9999
spect_000101.spc,53.2669720000,-9.0460080000,51.8,5.053,26.481,77.122,3.7103,0.7011,0.6420,0.7475,24.4891,1.2446,1.3758,2.6484,73.0979,0.5417,0.5992,0.6551,1.0000
spect_000102.spc,53.2618100000,-9.0415840000,35.6,4.556,27.248,69.905,3.2475,0.7292,0.5792,0.6542,25.4714,1.1228,1.2042,2.7547,65.9464,0.4741,0.6232,0.5910,0.9999
spect_000103.spc,53.2787260000,-9.0595820000,47.4,4.557,26.536,72.077,3.2500,0.7077,0.5989,0.6547,24.7204,1.1612,1.2051,2.6735,68.1984,0.4744,0.6049,0.6112,0.9999
spect_000104.spc,53.2794290000,-9.0576670000,54.1,4.566,28.074,72.152,3.2158,0.7519,0.5982,0.6479,26.2661,1.1598,1.1924,2.8406,68.1188,0.4695,0.6427,0.6104,0.9999
spect_000105.spc,53.2604190000,-9.0595250000,47.9,4.653,29.084,70.012,3.2933,0.7815,0.5782,0.6635,27.3000,1.1210,1.2211,2.9524,65.8381,0.4808,0.6680,0.5900,1.0000
spect_000106.spc,53.2667400000,-9.0562660000,44.6,4.551,27.234,79.353,3.1634,0.7246,0.6625,0.6373,25.3118,1.2845,1.1730,2.7374,75.4424,0.4618,0.6193,0.6761,1.0000
spect_000107.spc,53.2743170000,-9.0472730000,55.7,4.405,26.646,67.636,3.1313,0.7137,0.5601,0.6308,24.9296,1.0859,1.1611,2.6961,63.7788,0.4571,0.6100,0.5715,0.9999
spect_000108.spc,53.2719040000,-9.0542260000,48.0,4.643,27.377,74.054,3.2971,0.7306,0.6154,0.6642,25.5201,1.1931,1.2226,2.7599,70.0715,0.4813,0.6244,0.6279,0.9999
spect_000109.spc,53.2605960000,-9.0517490000,59.1,4.617,28.623,66.771,3.2969,0.7699,0.5501,0.6642,26.8924,1.0665,1.2225,2.9084,62.6399,0.4813,0.6580,0.5613,0.9999
spect_000110.spc,53.2770400000,-9.0527250000,51.6,4.647,28.514,77.271,3.2419,0.7619,0.6428,0.6531,26.6144,1.2462,1.2021,2.8783,73.1906,0.4733,0.6512,0.6559,1.0000
spect_000111.spc,53.2751450000,-9.0418560000,56.8,5.114,28.620,68.498,3.7839,0.7662,0.5638,0.7623,26.7644,1.0931,1.4031,2.8945,64.2002,0.5524,0.6549,0.5753,1.0000
spect_000112.spc,53.2744700000,-9.0547410000,40.3,4.604,29.215,69.398,3.2453,0.7859,0.5728,0.6538,27.4511,1.1106,1.2034,2.9688,65.2257,0.4738,0.6717,0.5845,0.9999
spect_000113.spc,53.2776330000,-9.0555700000,44.5,4.817,26.122,66.438,3.5719,0.6967,0.5487,0.7196,24.3386,1.0638,1.3245,2.6322,62.4809,0.5214,0.5955,0.5599,0.9999
spect_000114.spc,53.2767380000,-9.0466540000,51.3,4.911,28.903,77.947,3.4921,0.7713,0.6476,0.7035,26.9441,1.2555,1.2949,2.9139,73.7383,0.5098,0.6593,0.6608,1.0000
spect_000115.spc,53.2763710000,-9.0498120000,41.1,4.919,28.530,69.449,3.5820,0.7643,0.5729,0.7216,26.6981,1.1107,1.3282,2.8873,65.2330,0.5229,0.6532,0.5846,0.9999
spect_000116.spc,53.2669090000,-9.0422810000,37.4,4.781,25.950,70.361,3.5073,0.6903,0.5836,0.7066,24.1124,1.1315,1.3005,2.6077,66.4532,0.5120,0.5900,0.5955,0.9999
spect_000117.spc,53.2765250000,-9.0507410000,52.3,4.784,26.743,71.251,3.4809,0.7127,0.5908,0.7013,24.8964,1.1453,1.2907,2.6925,67.2676,0.5082,0.6092,0.6028,0.9998
spect_000118.spc,53.2735220000,-9.0502440000,59.1,4.718,27.642,70.314,3.3967,0.7394,0.5819,0.6843,25.8293,1.1282,1.2595,2.7934,66.2610,0.4959,0.6320,0.5938,0.9998
spect_000119.spc,53.2669850000,-9.0515960000,40.5,4.998,28.040,74.390,3.6336,0.7475,0.6167,0.7320,26.1125,1.1956,1.3473,2.8240,70.2182,0.5304,0.6389,0.6293,0.9999
spect_000120.spc,53.2742270000,-9.0433410000,53.0,4.770,28.181,75.757,3.3885,0.7523,0.6293,0.6826,26.2779,1.2201,1.2565,2.8419,71.6587,0.4947,0.6430,0.6422,1.0000
spect_000121.spc,53.2611040000,-9.0500680000,37.8,4.766,27.013,69.573,3.4693,0.7213,0.5758,0.6989,25.1976,1.1163,1.2864,2.7251,65.5613,0.5065,0.6165,0.5875,1.0000
spect_000122.spc,53.2680990000,-9.0500080000,47.3,4.487,28.696,66.951,3.1624,0.7726,0.5520,0.6371,26.9888,1.0703,1.1726,2.9188,62.8596,0.4617,0.6604,0.5633,0.9999
spect_000123.spc,53.2693940000,-9.0564470000,39.2,5.161,30.434,71.775,3.7535,0.8168,0.5910,0.7562,28.5316,1.1459,1.3918,3.0856,67.2977,0.5480,0.6981,0.6031,0.9999
spect_000124.spc,53.2715720000,-9.0539530000,61.7,4.766,27.657,65.123,3.4883,0.7419,0.5359,0.7028,25.9156,1.0391,1.2935,2.8027,61.0269,0.5092,0.6341,0.5469,0.9999
spect_000125.spc,53.2715490000,-9.0477000000,48.5,4.929,25.822,75.385,3.6180,0.6835,0.6276,0.7289,23.8761,1.2167,1.3416,2.5821,71.4614,0.5282,0.5842,0.6404,0.9999
spect_000126.spc,53.2697910000,-9.0599820000,38.8,4.775,28.748,71.210,3.4158,0.7706,0.5887,0.6881,26.9182,1.1413,1.2666,2.9111,67.0325,0.4986,0.6586,0.6007,1.0000
spect_000127.spc,53.2641090000,-9.0403600000,64.3,4.764,28.121,68.971,3.4413,0.7536,0.5695,0.6933,26.3233,1.1042,1.2761,2.8468,64.8485,0.5024,0.6441,0.5811,0.9999
spect_000128.spc,53.2781040000,-9.0408100000,59.3,4.835,28.102,70.719,3.4988,0.7519,0.5847,0.7049,26.2639,1.1337,1.2974,2.8404,66.5812,0.5108,0.6426,0.5967,0.9999
spect_000129.spc,53.2632420000,-9.0530880000,49.1,5.009,27.474,70.540,3.6933,0.7329,0.5832,0.7441,25.5997,1.1306,1.3695,2.7686,66.4020,0.5392,0.6264,0.5951,0.9999
spect_000130.spc,53.2687450000,-9.0493990000,51.6,4.702,29.470,67.290,3.3544,0.7936,0.5537,0.6758,27.7210,1.0735,1.2438,2.9980,63.0481,0.4897,0.6783,0.5650,0.9998
