file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
sample_121,2.7,13.7,5.9,13.48,20.44,16.73,0.9935
sample_122,5.38,14.5,6.4,26.89,21.6,18.23,0.9936
sample_123,5.31,25.1,5.9,26.57,37.39,16.9,0.9937
sample_124,5.19,7.3,0.6,25.97,10.86,1.71,0.9955
sample_125,1.85,3.3,0.3,9.23,4.9,0.91,0.9949
sample_126,1.87,18.1,9.6,9.33,26.99,27.45,0.9945
sample_127,1.95,24.4,5.8,9.76,36.4,16.64,0.9945
sample_128,5.1,10.4,7.8,25.52,15.46,22.28,0.9934
sample_129,2.24,21.2,2.9,11.18,31.57,8.31,0.9942
sample_130,2.43,5.4,2.3,12.13,8.07,6.6,0.9936
sample_131,4.33,9.5,7.3,21.66,14.13,20.94,0.9933
sample_132,1.62,15.4,9.1,8.09,23.0,26.03,0.9942
sample_133,1.57,14.6,9.6,7.83,21.79,27.29,0.9944
sample_134,1.36,13.5,6.3,6.82,20.13,18.0,0.9942
sample_135,1.57,10.8,0.6,7.85,16.14,1.78,0.994
sample_136,4.91,5.0,8.3,24.54,7.41,23.63,0.9934
sample_137,2.84,23.9,10.7,14.22,35.65,30.71,0.9941
sample_138,2.16,6.7,5.5,10.78,9.99,15.67,0.9933
sample_139,3.1,4.2,6.3,15.49,6.22,17.92,0.9932
sample_140,1.85,18.9,3.1,9.24,28.18,8.89,0.9941
sample_141,3.01,11.5,3.6,15.04,17.2,10.15,0.9936
sample_142,3.58,11.4,7.0,17.92,17.04,19.95,0.9933
sample_143,5.55,16.5,4.9,27.74,24.65,13.92,0.9939
sample_144,1.3,15.8,0.8,6.48,23.52,2.4,0.9942
sample_145,4.1,20.9,3.9,20.5,31.24,11.09,0.9939
sample_146,4.71,22.0,7.8,23.56,32.85,22.15,0.9936
sample_147,0.81,17.2,3.6,4.04,25.63,10.34,0.9947
sample_148,0.72,11.2,1.7,3.62,16.7,4.79,0.9944
sample_149,2.04,7.0,5.7,10.22,10.51,16.18,0.9936
sample_150,4.18,21.3,9.6,20.92,31.76,27.49,0.9937
sample_151,2.27,15.8,7.4,11.35,23.64,21.26,0.9939
sample_152,4.52,9.1,7.3,22.59,13.56,20.91,0.9934
sample_153,2.26,16.5,4.7,11.31,24.68,13.54,0.9938
sample_154,1.52,3.8,6.3,7.59,5.71,18.08,0.9935
sample_155,2.83,23.0,1.2,14.15,34.39,3.5,0.9942
sample_156,5.48,24.6,9.5,27.38,36.66,27.14,0.9936
sample_157,1.0,8.9,8.9,5.02,13.31,25.41,0.9948
sample_158,4.46,8.3,1.6,22.28,12.37,4.47,0.9947
sample_159,2.11,14.6,1.0,10.54,21.84,2.91,0.9941
sample_160,1.04,24.2,6.0,5.21,36.06,17.28,0.9948
sample_161,3.41,9.6,1.3,17.07,14.35,3.85,0.9943
sample_162,2.26,10.2,6.7,11.31,15.17,19.05,0.9938
sample_163,2.54,15.9,0.5,12.72,23.76,1.39,0.9942
sample_164,3.26,21.1,7.0,16.29,31.48,20.07,0.9939
sample_165,1.15,18.5,7.3,5.77,27.66,20.77,0.9945
sample_166,5.12,14.8,9.4,25.62,22.13,26.89,0.9934
sample_167,5.51,5.9,7.0,27.56,8.79,20.01,0.9936
sample_168,4.15,8.9,7.7,20.77,13.35,22.08,0.9933
sample_169,1.09,13.6,4.6,5.43,20.32,13.26,0.9943
sample_170,1.51,18.8,4.5,7.54,28.12,12.87,0.9943
sample_171,0.81,5.8,3.5,4.06,8.65,10.11,0.9941
sample_172,2.05,20.0,10.8,10.26,29.82,30.82,0.9943
sample_173,2.82,10.6,6.9,14.12,15.77,19.63,0.9936
sample_174,4.91,14.4,8.7,24.56,21.49,24.75,0.9934
sample_175,3.7,22.6,2.8,18.48,33.7,8.14,0.994
sample_176,2.71,24.0,10.4,13.57,35.84,29.85,0.9942
sample_177,1.46,8.6,6.6,7.28,12.85,18.85,0.9939
sample_178,3.89,17.5,6.2,19.46,26.14,17.67,0.9935
sample_179,4.62,22.1,9.5,23.08,33.01,27.27,0.9935
sample_180,1.46,17.6,1.7,7.29,26.34,4.74,0.9942
sample_181,3.51,20.3,9.2,17.56,30.36,26.34,0.9937
sample_182,4.46,22.5,5.3,22.28,33.65,15.13,0.9938
sample_183,4.35,15.2,3.7,21.74,22.76,10.61,0.9936
sample_184,1.34,7.0,5.6,6.68,10.39,16.08,0.9938
sample_185,5.71,17.0,6.7,28.55,25.43,19.26,0.9936
sample_186,4.14,5.6,1.7,20.72,8.39,4.87,0.9949
sample_187,1.41,15.2,10.8,7.07,22.62,30.84,0.9947
sample_188,4.79,8.1,10.3,23.97,12.05,29.57,0.9932
sample_189,4.39,17.5,0.6,21.93,26.1,1.81,0.9943
sample_190,5.21,13.2,4.5,26.07,19.72,12.95,0.9939
sample_191,4.78,23.9,1.5,23.89,35.66,4.35,0.9942
sample_192,1.08,23.7,5.1,5.38,35.32,14.48,0.9948
sample_193,3.24,16.3,0.5,16.2,24.28,1.57,0.9941
sample_194,3.06,22.9,3.0,15.32,34.16,8.66,0.9941
sample_195,2.62,4.9,3.3,13.09,7.29,9.49,0.9935
sample_196,5.59,25.1,6.1,27.94,37.42,17.5,0.9938
sample_197,1.52,11.1,4.5,7.62,16.56,12.81,0.9938
sample_198,4.11,12.7,6.6,20.54,18.96,18.73,0.9933
sample_199,1.08,16.4,5.0,5.4,24.5,14.31,0.9945
sample_200,1.45,3.7,4.4,7.23,5.53,12.68,0.9933
sample_201,1.3,2.5,5.1,6.48,3.76,14.48,0.9935
sample_202,1.23,13.6,10.2,6.17,20.35,29.07,0.9946
sample_203,1.25,12.6,1.3,6.24,18.81,3.75,0.9941
sample_204,2.93,4.0,7.5,14.64,5.94,21.45,0.9931
sample_205,3.27,11.4,9.3,16.33,17.03,26.62,0.9936
sample_206,2.68,10.7,10.4,13.41,15.99,29.71,0.9938
sample_207,2.57,6.6,2.5,12.83,9.82,7.19,0.9936
sample_208,3.04,14.6,8.6,15.21,21.81,24.46,0.9938
sample_209,0.63,19.4,4.1,3.17,28.99,11.77,0.9948
sample_210,5.48,11.9,4.2,27.39,17.73,12.04,0.994
sample_211,3.11,16.6,8.2,15.54,24.77,23.51,0.9937
sample_212,3.68,6.7,1.6,18.42,10.0,4.55,0.9945
sample_213,2.51,12.9,1.0,12.54,19.3,2.77,0.9939
sample_214,3.67,14.6,1.4,18.36,21.84,4.0,0.994
sample_215,5.37,20.1,4.2,26.86,29.99,11.95,0.9939
sample_216,2.55,18.6,6.3,12.73,27.83,18.07,0.9938
sample_217,2.62,15.9,10.0,13.09,23.78,28.54,0.9939
sample_218,4.05,10.3,4.4,20.24,15.3,12.47,0.9937
sample_219,1.38,3.0,3.8,6.92,4.42,10.95,0.9933
sample_220,0.8,18.4,6.8,3.98,27.5,19.48,0.9949
sample_221,1.38,16.1,3.4,6.9,24.01,9.65,0.9941
sample_222,5.05,16.3,2.2,25.24,24.33,6.28,0.9943
sample_223,4.34,19.0,0.7,21.7,28.37,1.87,0.9944
sample_224,0.76,6.3,7.4,3.82,9.4,21.17,0.9947
sample_225,3.59,20.8,4.0,17.94,31.1,11.55,0.9938
sample_226,4.24,21.3,1.7,21.22,31.74,4.86,0.9941
sample_227,5.17,16.4,10.6,25.85,24.52,30.3,0.9935
sample_228,4.19,10.2,2.4,20.96,15.29,6.9,0.9942
sample_229,3.74,12.5,4.3,18.7,18.69,12.25,0.9936
sample_230,2.7,19.4,2.5,13.5,29.01,7.27,0.9941
sample_231,0.8,22.6,7.9,4.02,33.8,22.44,0.995
sample_232,1.13,13.9,4.4,5.65,20.72,12.48,0.9944
sample_233,2.05,8.4,5.3,10.23,12.53,15.14,0.9935
sample_234,2.57,13.5,2.0,12.87,20.14,5.58,0.994
sample_235,4.18,5.5,6.3,20.91,8.25,17.87,0.9935
sample_236,0.38,11.4,2.4,1.91,16.96,6.88,0.9949
sample_237,4.42,9.6,9.7,22.09,14.34,27.68,0.9933
sample_238,4.6,21.2,3.1,22.98,31.68,8.83,0.9939
sample_239,1.54,21.5,5.9,7.69,32.15,16.91,0.9944
sample_240,2.48,23.0,5.5,12.4,34.28,15.61,0.9939
sample_241,2.84,8.0,1.3,14.18,11.95,3.74,0.9942
sample_242,3.9,20.6,9.2,19.5,30.75,26.35,0.9936
sample_243,2.11,17.3,2.9,10.57,25.77,8.24,0.994
sample_244,0.55,14.8,3.3,2.75,22.02,9.45,0.9948
sample_245,1.79,10.3,4.3,8.97,15.34,12.17,0.9936
sample_246,1.14,6.8,9.5,5.71,10.21,27.22,0.9945
sample_247,4.7,6.4,1.7,23.48,9.58,4.86,0.9949
sample_248,4.69,12.5,6.5,23.43,18.63,18.66,0.9935
sample_249,3.11,17.7,9.9,15.57,26.36,28.38,0.9939
sample_250,5.37,17.0,3.7,26.83,25.44,10.59,0.994
sample_251,4.67,20.8,9.6,23.34,31.08,27.47,0.9936
sample_252,3.37,8.1,2.4,16.83,12.03,6.85,0.9937
sample_253,1.21,23.8,9.0,6.03,35.51,25.61,0.9947
sample_254,4.04,6.9,3.5,20.19,10.32,9.93,0.994
sample_255,0.6,16.0,5.8,3.02,23.92,16.58,0.995
sample_256,3.91,12.2,2.2,19.55,18.15,6.29,0.9941
sample_257,3.68,14.2,5.3,18.41,21.18,15.14,0.9936
sample_258,2.37,7.6,7.6,11.86,11.39,21.8,0.9935
sample_259,4.6,9.7,9.7,23.02,14.43,27.82,0.9933
sample_260,1.41,19.7,7.5,7.06,29.41,21.55,0.9946
sample_261,1.83,10.3,6.2,9.16,15.31,17.59,0.9937
sample_262,1.64,6.3,4.4,8.19,9.46,12.52,0.9935
sample_263,1.65,10.0,8.3,8.26,14.88,23.74,0.9939
sample_264,3.63,21.9,5.6,18.14,32.67,15.96,0.9939
sample_265,1.23,7.2,4.2,6.13,10.82,12.09,0.9938
sample_266,2.95,6.5,0.8,14.73,9.7,2.34,0.9947
sample_267,0.91,23.9,10.7,4.56,35.65,30.54,0.995
sample_268,3.98,7.6,8.7,19.88,11.29,24.79,0.9932
sample_269,3.09,5.0,10.1,15.43,7.51,28.99,0.9935
sample_270,2.54,23.7,6.9,12.68,35.36,19.85,0.9941
sample_271,1.06,16.5,8.2,5.29,24.57,23.54,0.9947
sample_272,2.51,3.1,0.9,12.55,4.62,2.71,0.995
sample_273,1.4,6.1,6.5,7.01,9.04,18.47,0.9939
sample_274,0.6,13.0,1.6,3.0,19.41,4.64,0.9945
sample_275,3.65,15.4,8.1,18.25,23.01,23.28,0.9936
sample_276,3.3,5.3,4.0,16.51,7.85,11.31,0.9937
sample_277,0.8,19.8,9.9,3.98,29.63,28.22,0.9949
sample_278,3.31,13.0,0.2,16.56,19.46,0.52,0.9945
sample_279,4.08,24.6,1.8,20.42,36.7,5.04,0.9939
sample_280,4.07,4.0,1.8,20.35,5.96,5.07,0.9951
sample_281,5.4,8.0,10.4,26.99,11.95,29.84,0.9933
sample_282,0.43,4.2,0.6,2.17,6.22,1.78,0.9939
sample_283,5.18,20.2,8.0,25.89,30.12,22.89,0.9936
sample_284,5.37,16.5,10.4,26.86,24.68,29.74,0.9934
sample_285,0.9,5.3,10.2,4.51,7.94,29.27,0.9946
sample_286,3.82,4.3,3.6,19.1,6.41,10.27,0.9939
sample_287,1.88,22.9,4.3,9.41,34.11,12.34,0.9942
sample_288,3.96,12.4,6.7,19.81,18.47,19.01,0.9935
sample_289,0.67,9.3,6.6,3.37,13.83,19.0,0.9948
sample_290,3.23,9.1,6.7,16.13,13.65,19.16,0.9934
sample_291,1.47,16.3,7.2,7.36,24.26,20.63,0.9942
sample_292,0.94,15.5,4.8,4.7,23.12,13.85,0.9945
sample_293,4.14,10.8,3.9,20.68,16.07,11.03,0.9938
sample_294,2.61,15.7,3.7,13.04,23.46,10.47,0.9938
sample_295,0.68,19.7,0.7,3.4,29.38,1.99,0.9948
sample_296,1.9,24.8,9.0,9.51,37.08,25.84,0.9943
sample_297,2.77,20.3,4.9,13.86,30.33,14.0,0.9939
sample_298,1.55,10.2,9.1,7.77,15.2,25.88,0.9942
sample_299,0.82,20.3,4.0,4.11,30.34,11.29,0.9947
sample_300,1.75,11.8,8.8,8.77,17.63,25.03,0.9941
sample_301,3.3,4.6,5.3,16.52,6.89,15.11,0.9933
sample_302,4.17,19.8,10.5,20.87,29.52,30.0,0.9936
sample_303,1.83,25.0,9.4,9.17,37.26,26.73,0.9945
sample_304,0.62,6.9,3.6,3.08,10.29,10.19,0.9941
sample_305,3.54,15.2,8.1,17.68,22.62,23.07,0.9936
sample_306,2.04,21.2,7.2,10.22,31.6,20.48,0.9944
sample_307,2.98,17.3,8.3,14.89,25.89,23.77,0.9939
sample_308,1.81,22.9,1.5,9.07,34.17,4.39,0.9944
sample_309,3.38,4.9,1.3,16.91,7.34,3.69,0.9948
sample_310,2.71,20.5,3.6,13.57,30.63,10.18,0.994
sample_311,4.44,15.7,0.9,22.18,23.46,2.64,0.9942
sample_312,0.9,16.5,10.1,4.49,24.68,28.86,0.9949
sample_313,3.59,12.1,8.8,17.93,18.07,25.11,0.9935
sample_314,4.51,12.4,6.7,22.55,18.55,19.2,0.9934
sample_315,3.67,11.1,4.1,18.35,16.49,11.64,0.9936
sample_316,1.52,19.0,3.5,7.59,28.29,9.93,0.9943
sample_317,0.69,19.7,5.6,3.46,29.33,16.1,0.9949
sample_318,0.34,3.6,2.6,1.69,5.32,7.43,0.9945
sample_319,4.64,21.7,5.5,23.21,32.46,15.7,0.9938
sample_320,1.11,23.2,2.8,5.54,34.56,7.99,0.9948
sample_321,4.7,20.3,3.1,23.49,30.31,8.91,0.9939
sample_322,3.79,18.0,5.8,18.94,26.8,16.63,0.9936
sample_323,4.76,10.4,6.2,23.78,15.58,17.81,0.9934
sample_324,1.08,17.3,7.2,5.42,25.81,20.66,0.9947
sample_325,0.75,15.3,0.8,3.77,22.87,2.15,0.9945
sample_326,3.99,20.3,4.3,19.94,30.31,12.29,0.9939
sample_327,2.65,18.8,6.3,13.25,28.0,17.98,0.9939
sample_328,3.41,13.3,6.2,17.05,19.78,17.65,0.9935
sample_329,3.57,11.8,4.6,17.83,17.62,13.05,0.9934
sample_330,2.71,4.2,5.2,13.54,6.25,14.94,0.9931
sample_331,0.86,9.7,8.8,4.31,14.48,25.04,0.9947
sample_332,2.0,6.4,7.4,10.01,9.54,21.09,0.9935
sample_333,3.73,19.1,9.9,18.67,28.45,28.24,0.9938
sample_334,2.03,16.5,10.8,10.17,24.65,30.97,0.9942
sample_335,4.05,15.3,4.4,20.25,22.77,12.47,0.9938
sample_336,2.7,21.4,0.5,13.51,32.0,1.39,0.9943
sample_337,0.72,4.4,3.3,3.62,6.61,9.51,0.9939
sample_338,1.51,10.4,4.8,7.53,15.59,13.82,0.994
sample_339,3.75,22.0,6.6,18.74,32.8,18.99,0.9938
sample_340,0.73,17.7,2.8,3.67,26.45,7.99,0.9946
sample_341,3.39,12.7,3.4,16.93,18.93,9.6,0.9938
sample_342,2.24,5.4,10.5,11.2,8.11,29.88,0.9939
sample_343,1.33,19.3,7.5,6.65,28.8,21.32,0.9945
sample_344,5.05,22.5,2.4,25.25,33.6,6.84,0.994
sample_345,1.67,16.5,9.8,8.35,24.63,27.93,0.9945
sample_346,1.61,6.8,10.1,8.04,10.13,28.94,0.9942
sample_347,4.16,10.1,3.1,20.8,15.02,8.86,0.994
sample_348,5.31,22.0,9.1,26.53,32.86,25.98,0.9937
sample_349,2.38,20.3,2.3,11.92,30.26,6.53,0.994
sample_350,0.74,15.9,9.0,3.69,23.76,25.84,0.995
sample_351,5.59,20.6,7.0,27.93,30.7,19.93,0.9936
sample_352,3.88,6.8,10.5,19.38,10.19,30.01,0.9932
sample_353,1.82,12.9,2.2,9.09,19.26,6.23,0.9938
sample_354,2.75,10.2,1.7,13.77,15.29,4.85,0.9939
sample_355,2.0,13.5,2.9,10.02,20.12,8.32,0.9939
sample_356,1.64,13.3,6.2,8.19,19.92,17.58,0.994
sample_357,3.62,16.3,5.3,18.1,24.36,15.19,0.9936
sample_358,5.01,16.7,9.9,25.07,24.86,28.41,0.9934
sample_359,3.63,21.5,2.3,18.17,32.1,6.7,0.994
sample_360,1.63,5.5,3.2,8.15,8.2,9.18,0.9932
sample_361,4.54,15.6,9.0,22.69,23.28,25.72,0.9936
sample_362,0.59,8.1,4.7,2.94,12.04,13.56,0.9944
sample_363,5.05,7.9,10.7,25.27,11.78,30.51,0.9933
sample_364,2.36,4.2,0.7,11.82,6.32,1.99,0.9947
sample_365,2.78,6.3,4.1,13.91,9.38,11.58,0.9934
