sample_id,K_est,U_est,Th_est
sample_528,4.62,7.7,9.6
sample_529,2.62,10.4,10.9
sample_530,4.87,11.3,1.9
sample_531,4.77,6.6,4.2
sample_532,2.27,20.5,7.7
sample_533,2.35,24.4,5.1
sample_534,1.62,15.1,5.0
sample_535,2.56,4.5,7.9
sample_536,2.11,12.6,2.2
sample_537,1.75,23.4,3.5
sample_538,0.45,5.4,3.5
sample_539,3.16,19.6,5.1
sample_540,3.23,18.6,0.5
sample_541,0.82,18.3,2.3
sample_542,5.5,20.3,0.2
sample_543,5.65,18.7,9.4
sample_544,4.49,5.4,3.1
sample_545,2.08,13.6,4.3
sample_546,3.08,4.1,1.1
sample_547,2.79,12.7,4.9
sample_548,4.26,18.1,6.9
sample_549,1.93,9.8,6.8
sample_550,2.18,14.4,2.3
sample_551,5.35,13.6,8.9
sample_552,0.85,13.8,10.4
sample_553,0.43,12.2,0.3
sample_554,2.19,17.0,3.7
sample_555,4.7,14.5,10.8
sample_556,4.5,20.6,1.7
sample_557,5.22,17.4,4.2
sample_558,5.04,19.9,8.5
sample_559,4.89,17.0,9.9
sample_560,0.69,13.1,10.4
sample_561,5.32,17.7,8.5
sample_562,2.8,10.5,8.1
sample_563,4.13,26.3,10.2
sample_564,4.54,9.7,8.9
sample_565,4.24,23.1,4.5
sample_566,4.05,6.5,2.0
sample_567,2.48,19.5,6.7
sample_568,2.85,13.4,2.7
sample_569,2.88,13.7,6.4
sample_570,0.82,9.0,8.6
sample_571,2.81,21.9,0.9
sample_572,3.38,12.4,6.5
sample_573,3.82,15.6,2.1
sample_574,2.7,20.5,8.3
sample_575,1.83,3.9,2.5
sample_576,2.89,14.2,0.9
sample_577,5.26,14.4,9.7
sample_578,3.18,7.5,2.6
sample_579,1.6,12.9,8.1
sample_580,2.25,20.7,9.6
sample_581,5.13,11.1,1.2
sample_582,3.43,20.4,8.8
sample_583,3.17,5.2,2.4
sample_584,3.45,22.0,6.0
sample_585,5.04,6.2,5.3
sample_586,3.69,14.1,8.7
sample_587,5.18,25.3,5.8
sample_588,2.64,10.1,4.9
sample_589,2.32,6.9,3.6
sample_590,3.2,13.4,6.5
sample_591,2.94,24.1,5.9
sample_592,4.98,21.4,9.3
sample_593,5.25,12.1,1.9
sample_594,1.2,5.2,7.1
sample_595,3.41,15.6,6.7
sample_596,2.71,11.1,10.8
sample_597,3.53,11.3,2.5
sample_598,0.66,6.7,9.3
sample_599,1.34,2.2,3.2
sample_600,1.9,10.1,6.2
sample_601,5.03,5.4,3.5
sample_602,4.33,16.5,6.7
sample_603,3.51,15.5,6.7
sample_604,0.72,21.3,3.4
sample_605,5.35,20.2,9.0
sample_606,1.33,6.5,7.5
sample_607,3.3,6.6,6.9
sample_608,1.8,20.2,3.7
sample_609,1.42,8.2,1.4
sample_610,1.75,3.1,2.5
sample_611,4.11,4.5,3.7
sample_612,4.72,14.8,7.5
sample_613,2.06,21.3,10.5
sample_614,2.34,7.6,6.9
sample_615,1.63,8.5,3.0
sample_616,3.1,15.9,9.7
sample_617,2.91,6.9,2.0
sample_618,3.93,6.5,1.3
sample_619,3.65,21.2,1.0
sample_620,1.47,22.7,5.2
sample_621,3.82,10.5,6.1
sample_622,4.96,14.1,4.7
sample_623,1.36,16.2,2.6
sample_624,4.41,7.1,4.8
sample_625,1.78,18.5,2.6
sample_626,1.66,20.2,9.1
sample_627,2.4,14.6,9.8
sample_628,5.31,10.8,6.2
sample_629,1.22,15.0,5.7
sample_630,4.5,14.8,6.8
sample_631,2.0,14.9,11.0
sample_632,2.35,10.4,9.4
sample_633,1.77,18.6,10.6
sample_634,0.81,22.6,10.2
sample_635,0.95,6.7,0.7
sample_636,1.13,12.4,2.3
sample_637,4.78,8.2,3.8
sample_638,1.06,19.9,0.8
sample_639,5.12,16.5,10.2
sample_640,1.81,25.6,11.0
sample_641,4.99,7.5,4.6
sample_642,4.93,21.4,8.8
sample_643,1.43,14.6,4.4
sample_644,3.37,20.8,8.4
sample_645,4.87,10.8,4.4
sample_646,3.62,14.6,6.8
sample_647,1.31,17.2,4.3
sample_648,5.59,23.6,10.8
sample_649,0.57,9.5,2.8
sample_650,4.72,13.3,1.4
sample_651,3.68,22.7,1.6
sample_652,4.37,23.9,11.0
sample_653,5.57,6.9,7.8
sample_654,4.28,11.0,8.7
sample_655,3.2,8.1,3.0
sample_656,2.85,17.3,1.5
sample_657,1.12,5.3,9.4
sample_658,5.36,8.0,3.3
sample_659,3.09,7.9,4.9
sample_660,2.72,6.8,1.5
sample_661,2.91,17.0,7.5
sample_662,1.01,9.8,5.4
sample_663,3.07,10.1,10.8
sample_664,4.52,20.8,8.6
sample_665,1.49,11.5,1.5
sample_666,2.68,23.8,3.7
sample_667,3.75,16.5,1.3
sample_668,1.9,3.6,2.2
sample_669,4.04,22.1,4.7
sample_670,3.43,13.6,8.5
sample_671,5.09,19.8,6.7
sample_672,1.78,5.4,8.0
sample_673,2.31,16.9,9.1
sample_674,4.46,17.9,8.8
sample_675,3.72,6.9,3.7
sample_676,2.58,17.4,8.7
sample_677,0.8,3.4,5.8
sample_678,5.12,6.4,10.2
sample_679,2.41,17.8,3.3
sample_680,1.24,9.8,5.4
sample_681,2.33,13.8,8.2
sample_682,3.46,14.9,5.8
sample_683,3.85,6.0,2.9
sample_684,5.55,13.0,10.4
sample_685,4.14,11.6,7.0
sample_686,0.56,10.1,8.5
sample_687,2.89,22.3,8.4
sample_688,1.18,8.7,4.5
sample_689,4.45,21.4,0.4
sample_690,5.17,13.9,8.3
sample_691,3.25,21.8,9.5
sample_692,1.52,17.1,7.9
sample_693,2.94,17.6,5.1
sample_694,5.52,6.0,7.7
sample_695,0.43,8.3,3.9
sample_696,5.1,25.6,5.1
sample_697,1.9,23.8,8.9
sample_698,2.64,15.4,1.3
sample_699,2.37,4.4,6.4
sample_700,4.89,10.4,10.5
sample_701,1.93,3.8,3.5
sample_702,2.68,7.3,3.9
sample_703,5.41,17.6,3.3
sample_704,3.19,13.5,1.3
sample_705,3.65,9.7,7.6
sample_706,2.99,3.8,7.2
sample_707,4.0,18.3,2.7
sample_708,1.69,21.6,10.9
sample_709,5.44,19.6,7.2
sample_710,3.05,12.1,9.7
sample_711,0.63,15.6,1.8
sample_712,4.74,5.6,2.3
sample_713,3.44,3.2,4.0
sample_714,4.71,21.4,5.5
sample_715,2.07,10.8,6.8
sample_716,2.96,11.2,1.1
sample_717,3.99,12.6,10.6
sample_718,4.64,7.5,6.7
sample_719,4.47,10.5,2.8
sample_720,1.5,7.8,7.0
sample_721,3.2,15.0,5.7
sample_722,3.25,5.8,7.3
sample_723,1.4,15.6,6.6
sample_724,3.82,6.4,2.6
sample_725,1.55,22.4,9.2
sample_726,0.45,1.2,0.9
sample_727,0.9,9.9,3.8
sample_728,0.87,9.1,4.2
sample_729,3.02,15.1,2.0
sample_730,1.02,15.2,4.0
sample_731,2.62,10.6,2.2
sample_732,2.91,12.0,7.6
sample_733,4.76,7.6,8.7
sample_734,5.6,20.4,4.5
sample_735,1.12,18.5,6.6
sample_736,4.83,19.9,8.2
sample_737,3.3,13.3,2.9
sample_738,0.6,18.3,1.8
sample_739,1.94,8.4,6.6
sample_740,4.29,23.8,8.4
sample_741,4.71,3.3,2.4
sample_742,4.83,12.6,1.0
sample_743,2.96,6.7,6.2
sample_744,1.61,5.5,7.7
sample_745,1.49,8.1,3.2
sample_746,5.48,6.9,7.0
sample_747,5.08,5.2,10.5
sample_748,1.98,16.0,3.5
sample_749,4.93,12.0,8.8
sample_750,3.92,11.4,0.7
sample_751,4.09,10.9,5.4
sample_752,1.46,13.0,10.4
sample_753,5.28,12.5,10.9
sample_754,0.88,20.6,4.3
sample_755,1.66,21.7,4.9
sample_756,1.7,15.4,5.8
sample_757,4.13,24.4,1.4
sample_758,5.14,19.3,4.4
sample_759,1.85,16.2,2.6
sample_760,1.84,4.0,4.7
sample_761,0.64,16.6,6.2
sample_762,0.65,11.3,1.5
sample_763,3.02,12.3,2.0
sample_764,1.75,16.2,8.1
sample_765,0.69,15.5,7.2
sample_766,5.43,17.2,6.7
sample_767,3.19,20.6,2.2
sample_768,5.27,12.0,10.7
sample_769,4.34,13.3,5.3
sample_770,0.73,9.4,6.0
sample_771,4.79,13.4,6.9
sample_772,5.28,11.8,7.8
sample_773,5.28,20.0,8.3
sample_774,2.34,11.4,7.2
sample_775,2.27,5.9,6.5
