Sample_ID,Easting_ING,Northing_ING,Na2O_%_XRFS,MgO_%_XRFS,Al2O3_%_XRFS,SiO2_%_XRFS,P2O5_%_XRFS,S_mgkg_XRFS,Cl_mgkg_XRFS,K2O_%_XRFS,CaO_%_XRFS,TiO2_%_XRFS,MnO_%_XRFS,Fe2O3_%_XRFS,Sc_mgkg_XRFS,V_mgkg_XRFS,Cr_mgkg_XRFS,Co_mgkg_XRFS,Ni_mgkg_XRFS,Cu_mgkg_XRFS,Zn_mgkg_XRFS,Ga_mgkg_XRFS,Ge_mgkg_XRFS,As_mgkg_XRFS,Se_mgkg_XRFS,Br_mgkg_XRFS,Rb_mgkg_XRFS,Sr_mgkg_XRFS,Y_mgkg_XRFS,Zr_mgkg_XRFS,Nb_mgkg_XRFS,Mo_mgkg_XRFS,Nd_mgkg_XRFS,Sm_mgkg_XRFS,Yb_mgkg_XRFS,Hf_mgkg_XRFS,Ta_mgkg_XRFS,W_mgkg_XRFS,Hg_mgkg_XRFS,Tl_mgkg_XRFS,Pb_mgkg_XRFS,Bi_mgkg_XRFS,Th_mgkg_XRFS,U_mgkg_XRFS,Ag_mgkg_XRFS,Cd_mgkg_XRFS,In_mgkg_XRFS,Sn_mgkg_XRFS,Sb_mgkg_XRFS,Te_mgkg_XRFS,I_mgkg_XRFS,Cs_mgkg_XRFS,Ba_mgkg_XRFS,La_mgkg_XRFS,Ce_mgkg_XRFS,Au_µgkg_FA_ICPMS,Pd_µgkg_FA_ICPMS,Pt_µgkg_FA_ICPMS
584548C,220809,424249,1.2,3.2,18.1,63.7,0.16,500,100,3.963,1.32,0.729,0.117,5.64,15.5,83.3,66.5,16.96,31.3,45.68,88.6,21.4,0.4,5,0.2,0.6,130.3,166.2,30.5,327.3,15.1,0.6,45,6.7,3.24,7.9,0.2,1.7,,0.4,22.1,0.8,13.9,2.8,0.25,0.1,0.25,2.5,0.6,0.1,0.5,3,729,53,101,3.5,1.99,0.73
584549C,246517,425402,1.2,2,15,59.6,0.29,500,100,3.035,0.87,0.966,0.198,6.72,15.3,93.7,83.6,59.44,38.5,23.99,91,17,1.4,12.3,0.5,19.8,89.4,128.6,30.6,967.6,18,0.6,37.3,3,2.31,22.7,0.2,2.4,,0.25,17,0.6,11,2.7,0.25,0.25,0.25,2.2,0.1,0.1,7.7,4,601,39,79,1.5,0.96,0.62
584550C,226372,422098,1,1.1,10.3,61.4,0.53,113,100,2.054,0.98,0.677,0.832,5.16,5.1,43,37,48.74,31,22.17,126.8,10.9,0.5,19.4,0.7,21.4,61.6,103,31,820.6,11.9,1,36.5,4.6,3.81,17.8,0.5,2,,0.2,20.6,0.9,10,4.6,0.25,0.5,0.25,1.6,0.4,0.1,16.2,2,405,43,85,1.6,0.25,0.2
584551C,249178,434021,0.8,3.3,16.5,42,0.25,104,18,3.275,0.95,0.934,1.413,12.95,20.6,149.4,101.1,86.46,71.5,38.22,209.8,20.8,1.6,24.5,0.6,42.8,94.3,126.8,31.6,366.1,16.9,1.1,48.3,3.4,0.75,7.5,0.9,1.9,,0.25,19.9,1.4,9,2.6,0.2,0.6,0.3,1.9,1.1,0.2,26.8,4,833,54,104,3.7,5.09,2.51
584552C,237993,423944,2,2.6,15.3,63.3,0.25,500,100,2.252,0.91,0.941,0.311,7.22,16.1,106.3,83.2,40.31,52.4,46.49,131.3,16.6,0.2,4,0.7,23.2,72.1,144.1,28.3,785.6,17.9,0.7,42.1,4.6,4.05,18.8,0.5,2,,0.25,23.1,1.1,9.7,2.7,0.25,0.2,0.25,2.8,0.4,0.25,9.1,2,493,48,94,3.3,1.8,1.07
584553C,249321,432674,1.6,2.6,15.1,56.5,0.24,500,100,2.461,0.78,0.933,1.919,8.84,16.6,110,85.7,90.35,67.2,33.27,241.8,17.6,0.5,11.6,0.2,15.5,74.1,132.9,30.3,879,17.9,0.8,39.7,3.4,2.89,20.1,0.6,1.9,,0.25,20.2,1.4,10.2,2.9,0.25,0.5,0.25,2.4,0.4,0.2,7.5,2,752,47,99,31.7,1.34,0.94
584554C,245776,434221,1.4,3.9,17.5,52.9,0.16,500,100,3.024,0.91,0.913,0.925,10.26,22.7,143.3,128.5,47.98,63.6,39.02,128.9,20,1.4,10.4,0.2,9.7,90.8,94.6,25.6,317.6,15.8,0.5,38.3,3.2,2.66,7,0.4,1.8,,0.25,12.1,1.1,8.9,2.2,0.2,0.25,0.25,1.8,0.8,0.25,8.9,3,817,42,82,1.2,2.28,1.76
584555C,225717,430625,0.9,3.1,13.9,46.3,0.13,500,100,3.703,0.92,0.64,4.033,10.76,10.4,74.9,46.7,79,56.4,20.46,222.2,17.4,0.25,54.4,0.6,21.4,115.4,131.2,34.4,256.7,13.4,3.3,49.7,2,1.04,7.3,0.3,1,,0.1,14.3,0.6,10.2,3.4,0.25,0.5,0.2,2.5,0.5,0.25,21.6,3,1439,51,109,1.1,0.76,0.39
584556C,251532,433752,1.1,2.5,19.1,52.5,0.31,500,100,3.39,0.74,1.039,0.231,9.99,15.9,135.7,101.2,49.5,51.8,32.26,140.5,22.9,1.3,5.2,0.3,9.3,106.2,123.9,29.6,466.5,18.4,0.5,46.2,4.3,2.43,10.9,0.1,1.6,,0.3,12.9,0.9,10.5,1.8,0.1,0.25,0.2,2.2,0.3,0.25,3,3,700,46,97,1.8,1.75,0.78
584558C,238722,424423,1.8,2.7,18.5,61.1,0.24,500,100,3.076,0.73,0.996,0.27,7.45,15.5,113.1,97.3,50.68,66.3,37.51,175.5,20.8,0.7,2.5,0.6,24.2,100.1,155.2,30.7,833.3,21.5,0.7,44.9,7.3,3.12,18.8,0.5,2,,0.25,21.6,1.3,11.7,3.2,0.25,0.4,0.25,2.4,0.5,0.2,5.9,2,671,54,111,1.5,1.13,0.76
584561C,226367,435713,0.6,1.3,10.4,46.6,0.31,571,44,3.275,0.89,0.747,0.333,5.84,9.4,64.9,46.5,27.77,26.6,20.05,108.1,13,0.2,2.5,1.1,39.3,111.1,91.4,32.9,591.4,14.1,1,34.2,3.1,3.81,14.2,0.5,2,,0.8,33.3,0.5,9.3,2.1,0.2,0.8,0.1,3.4,0.8,0.1,11.3,3,867,38,83,2,1.14,0.7
584562C,241594,429708,1.6,2.6,15.2,54.8,0.26,500,73,2.377,0.5,0.775,0.078,8.83,17.8,94.3,123.5,15.99,33.4,13.9,80.2,17.4,0.3,131.3,0.1,14.5,74.9,132.1,24.3,387.2,18.4,1,30.2,0.9,1.62,9.6,0.6,2.5,,0.4,16.5,0.5,9.4,2,0.3,0.25,0.25,1.8,0.6,0.25,2.4,2,496,40,73,1,0.94,0.67
584563C,244023,429964,1.2,2.1,15.2,51.7,0.22,500,100,2.983,0.74,0.684,0.67,9.01,12.3,79.3,71.7,47.01,33.7,24.09,118.9,16.6,0.5,18.3,0.4,15,91.2,134.5,22.7,496.6,15.9,0.8,37.8,4.1,1.73,11.5,0.5,1.1,,0.25,16.3,0.6,9.6,3.1,0.3,0.5,0.25,1.8,0.2,0.25,9.6,2,682,48,92,1.3,0.78,0.54
584565C,252400,432780,1.5,2.2,17.4,57.9,0.31,500,100,2.816,0.67,0.967,0.315,8.15,14.4,111.8,88.5,47.33,47.6,30.35,141.4,18.8,1.3,6,0.4,10.9,88.8,119.4,26.9,785,17.6,0.7,38.2,2.1,1.96,19,0.2,1.7,,0.2,14.2,0.9,9.1,3,0.25,0.3,0.25,3,0.6,0.1,4.9,2,618,40,82,6,1.26,0.62
584566C,226590,426632,0.6,1.1,10.5,39.4,0.29,40,29,2.534,0.63,0.602,1.17,15.68,11.5,53.9,42,89.92,41,14.81,167.9,11.8,0.6,84.7,1,29.1,76.4,72.3,28.8,616.8,10.9,2.1,39.6,1.5,0.69,13.5,0.5,1.3,,0.25,18.9,1.1,9.7,2.6,0.1,0.25,0.25,3,0.4,0.25,23.2,2,645,47,93,1.1,0.54,0.31
584569C,247989,430825,1.1,2.1,19.4,48.3,0.19,500,100,3.421,0.34,0.812,2.411,10.18,17.1,107.1,88.2,138.88,106,37.01,203.3,24,1,15.8,0.4,15.4,114.7,144.5,31.5,352.1,23.7,0.8,50.9,4.2,2.54,7.2,1.5,1.9,,0.3,15.4,1.2,12.5,2.3,0.1,0.3,0.25,2.3,1.1,0.25,8.4,3,789,64,118,2.4,0.79,0.71
584570C,247584,430623,1.6,2.4,19.8,59.2,0.21,500,100,3.066,0.3,0.985,0.281,7.69,15.7,108.7,78.7,33.93,46.5,39.83,124.9,22.5,0.5,6,0.2,4.2,106.1,139.9,33.8,409.5,26.6,0.4,48.3,4.9,3.81,9.5,1.6,2.5,,0.25,15.4,0.8,12.1,3,0.25,0.3,0.25,2.2,0.2,0.1,2.2,3,576,60,111,1.7,1.01,0.68
584571C,248522,430726,1.8,3.1,16.3,60,0.17,500,100,2.701,0.43,0.858,0.531,7.22,18.2,128.3,113.6,36.09,49.6,31.35,111.2,18.6,0.7,1.5,0.4,10.2,76.1,99.9,22.1,458.8,14.5,0.4,30.9,1.8,1.5,10.9,0.5,0.9,,0.25,12.4,1.4,7.4,2,0.1,0.2,0.2,4.3,0.5,0.25,5.3,2,656,33,64,1.9,1.19,1.09
584572C,243980,430047,1.4,1.2,10.5,53.5,0.24,27,20,1.668,0.71,0.769,0.769,7.6,6.5,63.8,200.7,29.18,22.8,17.93,104.7,11.2,0.4,44.9,0.4,31,49.3,123.7,21.8,640.8,14.2,0.8,30.6,3.4,1.73,14.1,0.3,4.3,,0.5,21.5,1,8.1,2.9,0.25,0.25,0.25,1.7,0.8,0.1,10.6,1,380,42,75,1.5,0.81,0.37
584573C,253803,434203,1.4,2,13.7,57.4,0.31,185,100,2.064,3.68,0.953,0.147,6.26,15.7,95.9,86.8,17.07,35.1,51.44,108.4,15.4,0.6,5.8,0.6,18.9,64.5,237.6,25.8,1065.9,16.3,1.1,34,5.4,3.81,25.2,0.1,2,,0.2,25.1,1.1,8.5,2.8,0.25,0.25,0.25,2.6,0.3,0.1,9.5,1,408,38,69,4.3,2.21,1.21
584574C,248853,430984,1.7,4.2,18.8,56.1,0.16,500,100,2.795,0.59,0.854,0.268,8.64,18.4,146,131.2,34.15,53.5,33.68,112.1,20.8,1.1,1.4,0.2,5.6,86.1,116,25.3,334.1,15.6,0.3,32.7,3.1,2.66,8,1,1.6,,0.2,11.5,0.9,8.6,1.8,0.25,0.1,0.1,2.8,0.3,0.25,3.8,2,611,40,77,1.9,1.34,1.31
584575C,248935,433070,1.7,2.4,16.6,59.4,0.21,500,100,2.628,0.5,1.006,0.461,8.39,12.8,103.7,82.7,33.5,41.3,28.33,118.2,18.8,0.4,12.1,0.4,9.3,85,124.8,32.4,814.8,22.2,0.7,44,4.1,4.16,17.6,1.1,2.5,,0.2,17.5,1.6,11.1,3,0.25,0.25,0.25,2.6,0.4,0.3,5.2,2,540,53,103,1.4,1.09,0.67
