Sample_ID,Easting_ING,Northing_ING,pH,SEC_µScm,HCO3_mgL,NPOC_mgL,Cl_mgL_IC,SO4_mgL_IC,NO3_mgL_IC,Br_mgL_IC,NO2_mgL_IC,HPO4_mgL_IC,F_mgL_IC,Li_µgL_ICPMS,Be_µgL_ICPMS,B_µgL_ICPMS,Na_mgL_ICPMS,Mg_mgL_ICPMS,Al_µgL_ICPMS,Si_µgL_ICPMS,P_mgL_ICPMS,S_mgL_ICPMS,K_mgL_ICPMS,Ca_mgL_ICPMS,Ti_µgL_ICPMS,V_µgL_ICPMS,Cr_µgL_ICPMS,Mn_µgL_ICPMS,Fe_µgL_ICPMS,Co_µgL_ICPMS,Ni_µgL_ICPMS,Cu_µgL_ICPMS,Zn_µgL_ICPMS,Ga_µgL_ICPMS,As_µgL_ICPMS,Se_µgL_ICPMS,Rb_µgL_ICPMS,Sr_µgL_ICPMS,Y_µgL_ICPMS,Zr_µgL_ICPMS,Nb_µgL_ICPMS,Mo_µgL_ICPMS,Ag_µgL_ICPMS,Cd_µgL_ICPMS,Sn_µgL_ICPMS,Sb_µgL_ICPMS,Cs_µgL_ICPMS,Ba_µgL_ICPMS,La_µgL_ICPMS,Ce_µgL_ICPMS,Pr_µgL_ICPMS,Nd_µgL_ICPMS,Sm_µgL_ICPMS,Eu_µgL_ICPMS,Tb_µgL_ICPMS,Gd_µgL_ICPMS,Dy_µgL_ICPMS,Ho_µgL_ICPMS,Er_µgL_ICPMS,Tm_µgL_ICPMS,Yb_µgL_ICPMS,Lu_µgL_ICPMS,Hf_µgL_ICPMS,Ta_µgL_ICPMS,W_µgL_ICPMS,Tl_µgL_ICPMS,Pb_µgL_ICPMS,Bi_µgL_ICPMS,Th_µgL_ICPMS,U_µgL_ICPMS
584514W,241890,423548,6.78,266,74.37,10.84,23.375,12.872,1.757,0.13,0.005,0.05,0.029,0.9,0.007,21.9,16.09,4.759,44.9,2588,0.0246,5.48,4.414,27.6,0.688,0.198,0.456,197.29,755.8,1.556,3.98,5.328,2.788,0.005,0.55,0.139,2.789,115.629,0.3931,0.487,0.0141,0.078,0.025,0.0105,0.113,0.0803,0.0057,11.49,0.282,0.39,0.082,0.333,0.077,0.019,0.011,0.081,0.059,0.013,0.042,0.007,0.041,0.008,0.022,0.001,0.01,0.005,0.069,0.005,0.0241,0.041
584516W,248068,438191,7.2,89,19.39,6.6,13.258,2.295,0.025,0.05,0.005,0.05,0.005,0.527,0.0035,2.5,8.83,2.927,48.2,1009,0.0088,1.38,0.313,4.09,0.652,0.125,0.177,5.38,261,0.081,1.72,0.75,1.415,0.005,1.42,0.067,0.312,13.796,0.1285,0.059,0.0044,0.015,0.025,0.0061,0.067,0.0207,0.0041,1.71,0.058,0.056,0.018,0.064,0.018,0.005,0.004,0.024,0.018,0.004,0.012,0.002,0.01,0.002,0.005,0.001,0.01,0.005,0.252,0.005,0.0075,0.013
584517W,247769,429425,7.72,139,31.82,7.18,14.018,5.739,0.661,0.02,0.005,0.05,0.014,0.844,0.0067,2.5,8.97,2.608,62.6,1916,0.0192,2.58,1.282,12.68,0.885,0.269,0.371,116.53,599,0.764,3.12,3.595,2.682,0.005,0.49,0.142,0.808,60.745,0.3416,0.497,0.0074,0.069,0.025,0.0147,0.073,0.0669,0.0026,3.39,0.174,0.376,0.055,0.215,0.061,0.014,0.01,0.071,0.057,0.012,0.04,0.006,0.041,0.008,0.016,0.001,0.01,0.005,0.242,0.005,0.0237,0.056
584518W,245122,434065,6.17,56,3.05,14.32,11.076,1.45,0.025,0.03,0.005,0.05,0.005,0.436,0.0064,2.5,7.01,1.174,103.6,531,0.0178,0.84,0.287,2.06,1.297,0.255,0.188,155.49,1009.6,0.88,1.37,0.771,4.996,0.005,0.53,0.077,0.305,10.8,0.197,0.131,0.0044,0.015,0.025,0.0164,0.079,0.0439,0.0034,2.61,0.108,0.269,0.032,0.106,0.029,0.008,0.006,0.033,0.029,0.007,0.02,0.004,0.021,0.004,0.005,0.001,0.01,0.005,0.338,0.005,0.0135,0.019
584519W,247823,437556,7.25,73,0,13.43,9.55,0.988,0.025,0.01,0.005,0.05,0.005,0.267,0.0046,2.5,6.31,1.196,76.1,527,0.0086,0.78,0.179,7.38,1.844,0.229,0.227,50.7,714.1,0.259,0.74,0.61,4.106,0.005,0.55,0.075,0.239,40.896,0.1026,0.078,0.0056,0.015,0.025,0.0142,0.088,0.027,0.0024,4.49,0.073,0.163,0.02,0.071,0.019,0.005,0.004,0.022,0.018,0.004,0.012,0.003,0.01,0.002,0.005,0.001,0.01,0.005,0.245,0.005,0.014,0.016
584520W,245931,432900,7.07,72,19.51,8.13,10.935,2.577,0.025,0.03,0.005,0.05,0.005,0.865,0.0098,2.5,7.08,1.809,123.4,1257,0.0124,1.24,0.209,4.78,1.203,0.244,0.224,296.75,1205.4,1.879,3.44,1.233,5.165,0.005,0.82,0.072,0.255,21.678,0.3059,0.418,0.0038,0.015,0.025,0.0206,0.093,0.0533,0.0039,1.4,0.129,0.328,0.041,0.147,0.041,0.012,0.008,0.053,0.046,0.011,0.034,0.006,0.036,0.006,0.014,0.001,0.01,0.005,0.21,0.005,0.0266,0.049
584521W,308362,315807,8.05,80,23.17,5.11,11.884,5.129,1.844,0.02,0.005,0.05,0.075,1.016,0.1481,2.5,8.59,1.294,138.6,5773,0.005,2.01,0.498,3.17,0.79,0.318,0.177,12.79,339.5,0.052,0.19,0.614,2.047,0.005,0.19,0.068,1.367,11.527,0.7924,0.108,0.0092,0.065,0.025,0.0148,0.256,0.0402,0.0544,3.69,0.513,1.197,0.135,0.494,0.11,0.014,0.021,0.131,0.118,0.027,0.087,0.013,0.081,0.013,0.005,0.001,0.01,0.005,0.189,0.005,0.0715,0.205
584522W,248837,436777,6.54,47,0,15.95,9.955,0.522,0.025,0.01,0.005,0.05,0.005,0.32,0.0073,2.5,6.45,1.006,123.8,422,0.0082,0.53,0.177,2.08,2.68,0.498,0.249,35.01,992.5,0.345,0.56,0.785,3.387,0.018,0.49,0.102,0.181,9.541,0.2664,0.115,0.0056,0.015,0.025,0.0099,0.104,0.0393,0.0037,1.63,0.26,0.563,0.07,0.262,0.06,0.015,0.01,0.061,0.047,0.01,0.028,0.005,0.021,0.004,0.005,0.001,0.01,0.005,0.563,0.005,0.0217,0.009
584523W,242385,429993,7.05,88,0,18.78,11.855,1.646,0.025,0.01,0.005,0.05,0.011,0.606,0.0089,2.5,7.75,1.758,141.4,1097,0.0222,0.88,0.156,8.88,2.307,0.429,0.277,108.19,1215.1,0.545,1.39,0.938,3.503,0.005,0.82,0.097,0.18,46.515,0.2953,0.292,0.0063,0.015,0.025,0.0099,0.091,0.0389,0.0024,2.46,0.199,0.445,0.055,0.192,0.047,0.013,0.009,0.055,0.044,0.01,0.031,0.005,0.032,0.006,0.011,0.001,0.01,0.005,0.476,0.005,0.0262,0.072
584525W,244655,426744,7.19,90,14.39,10.58,14.364,4.215,0.184,0.03,0.005,0.05,0.01,0.966,0.0134,2.5,9.53,1.789,198.7,1760,0.0114,1.86,0.398,5.56,2.194,0.34,0.447,176.24,762.6,1.754,3.26,2.491,4.533,0.022,0.42,0.104,0.409,25.958,0.5688,0.435,0.0075,0.038,0.025,0.015,0.09,0.0395,0.0028,3.33,0.632,1.321,0.172,0.651,0.129,0.029,0.019,0.133,0.092,0.02,0.06,0.009,0.057,0.011,0.016,0.001,0.01,0.005,0.178,0.005,0.043,0.054
584526W,225419,434431,6.68,96,39.01,14.53,19.436,2.838,0.025,0.06,0.005,0.05,0.005,0.376,0.0121,2.5,12.22,1.835,295.1,1105,0.0166,1.45,1.361,3.02,2.501,0.217,0.253,130.95,1128,1.402,1.76,1.777,15.391,0.011,0.35,0.153,2.364,26.936,0.6981,0.293,0.0063,0.047,0.025,0.0263,0.103,0.0234,0.0086,22.59,0.354,0.746,0.1,0.397,0.094,0.024,0.018,0.114,0.099,0.022,0.07,0.011,0.066,0.012,0.013,0.001,0.01,0.005,0.172,0.005,0.0183,0.02
584527W,223600,436292,6.95,113,9.14,9.74,23.733,4.33,0.025,0.1,0.005,0.05,0.005,0.323,0.0111,2.5,14.62,1.95,175.9,1106,0.007,1.9,0.869,2.99,1.561,0.245,0.187,44.47,552.9,0.251,0.74,1.366,2.422,0.005,0.22,0.086,1.287,22.685,0.3117,0.188,0.0049,0.015,0.025,0.0097,0.089,0.0236,0.0029,15.97,0.147,0.259,0.042,0.16,0.046,0.012,0.009,0.054,0.049,0.012,0.031,0.006,0.031,0.006,0.005,0.001,0.01,0.005,0.126,0.005,0.0118,0.023
584528W,223401,436123,7.39,128,18.29,13.25,23.742,4.519,0.025,0.1,0.005,0.05,0.015,0.356,0.016,2.5,14.37,2.391,222.2,1472,0.0229,2.16,1.864,6.96,2.67,0.438,0.361,62.38,640,0.578,1.7,3.069,3.151,0.005,0.69,0.148,1.818,45.402,0.6286,0.3,0.0094,0.084,0.025,0.0194,0.075,0.0357,0.0041,22.25,0.447,0.78,0.12,0.463,0.108,0.025,0.019,0.125,0.101,0.022,0.065,0.009,0.063,0.01,0.014,0.001,0.01,0.005,0.293,0.005,0.022,0.052
584529W,252099,434236,7.6,106,13.53,14.45,12.7,3.599,0.025,0.03,0.005,0.05,0.012,0.608,0.01,2.5,8.07,2.437,137.5,1220,0.0116,1.76,0.952,10.21,1.76,0.255,0.432,57.07,1105.7,1.112,2.29,2.31,2.802,0.015,0.42,0.257,0.528,47.652,1.0398,0.345,0.0053,0.039,0.025,0.0186,0.083,0.0318,0.0052,4.29,1.221,1.954,0.332,1.312,0.264,0.065,0.036,0.26,0.17,0.035,0.1,0.014,0.086,0.014,0.012,0.001,0.01,0.005,0.154,0.005,0.0336,0.027
584530W,245836,432809,6.85,63,14.39,8.94,10.333,0.825,0.025,0.03,0.005,0.05,0.005,0.529,0.007,2.5,6.48,1.633,90.7,921,0.0111,0.54,0.075,2.83,1.333,0.217,0.163,1218.47,3533.7,4.569,1.81,0.378,2.272,0.04,2.01,0.073,0.083,12.245,0.2269,0.293,0.0036,0.015,0.025,0.009,0.083,0.0347,0.0028,3.13,0.11,0.304,0.036,0.126,0.035,0.008,0.007,0.043,0.034,0.009,0.027,0.005,0.025,0.006,0.005,0.001,0.01,0.005,0.155,0.005,0.0235,0.026
584531W,248878,433715,11.75,114,43.89,7.96,11.935,3.963,0.025,0.02,0.005,0.05,0.013,0.66,0.0053,2.5,8.22,2.554,69.8,1659,0.0143,1.91,0.984,14.6,1.278,0.22,0.28,63.09,597.9,0.475,3.21,2.014,2.353,0.005,0.55,0.105,0.622,74.368,0.1964,0.422,0.0126,0.044,0.025,0.0164,0.102,0.1699,0.0036,3.14,0.095,0.198,0.03,0.108,0.031,0.008,0.007,0.037,0.029,0.008,0.023,0.005,0.022,0.005,0.062,0.001,0.01,0.005,0.11,0.005,0.0356,0.082
584532W,226993,435602,7.14,115,13.41,18,20.369,2.48,0.025,0.04,0.005,0.05,0.013,0.39,0.0128,2.5,12.29,1.896,250.6,1239,0.0285,1.46,1.626,7.2,4.071,0.497,0.325,81.5,927.5,0.619,1.75,3.3,4.895,0.016,0.54,0.187,2.252,44.238,0.6029,0.353,0.0161,0.143,0.025,0.0222,0.107,0.0366,0.005,7.88,0.511,0.934,0.132,0.498,0.104,0.021,0.019,0.116,0.093,0.019,0.062,0.01,0.055,0.01,0.043,0.001,0.01,0.005,0.304,0.005,0.0372,0.059
584533W,248002,437208,6.68,59,0,25.91,10.688,0.779,0.025,0.02,0.005,0.05,0.005,0.519,0.0084,2.5,7.22,1.482,186.1,829,0.019,0.74,0.473,3.35,3.945,0.435,0.469,131.45,2271,0.95,1.19,0.76,4.623,0.005,0.61,0.102,0.585,13.842,0.3401,0.128,0.0098,0.015,0.025,0.0118,0.083,0.0339,0.0054,6.13,0.236,0.513,0.065,0.244,0.056,0.016,0.01,0.065,0.054,0.012,0.036,0.006,0.03,0.006,0.025,0.001,0.01,0.005,0.362,0.005,0.0198,0.016
584534W,221226,421866,6.91,200,43.89,14.24,24.849,8.854,0.473,0.05,0.005,0.05,0.021,0.446,0.0112,2.5,15.06,2.634,97.4,1754,0.0265,3.73,1.823,21.04,1.751,0.245,0.339,64.07,613.1,0.51,2.84,2.778,2.45,0.005,0.6,0.214,1.568,122.368,0.4911,0.638,0.0093,0.103,0.025,0.0117,0.085,0.0486,0.0036,9.64,0.226,0.316,0.062,0.228,0.056,0.014,0.012,0.07,0.063,0.015,0.05,0.009,0.059,0.011,0.035,0.001,0.01,0.005,0.159,0.005,0.04,0.114
584535W,249120,431677,6.9,73,0.35,13.2,12.429,4.239,0.025,0.02,0.005,0.05,0.005,0.89,0.0232,2.5,7.56,1.745,200.1,764,0.0292,1.66,0.737,4.32,1.098,0.219,0.308,264.99,946.2,2.943,10.08,56.16,12.376,0.005,0.4,0.117,0.558,21.94,0.966,0.372,0.0055,0.048,0.025,0.0293,0.092,0.0483,0.0028,2.42,0.278,0.716,0.101,0.425,0.12,0.032,0.027,0.172,0.151,0.033,0.101,0.015,0.095,0.017,0.022,0.001,0.01,0.005,0.167,0.005,0.0399,0.108
584536W,222020,425753,7.47,145,35.36,9.08,21.115,4.401,0.256,0.04,0.005,0.05,0.011,0.342,0.0087,2.5,13.27,2.137,109.1,1242,0.0154,2.14,1.259,12.62,2.185,0.253,0.224,104.98,478,0.412,1.71,1.986,2.016,0.005,0.4,0.171,2.233,78.573,0.5162,0.289,0.0094,0.106,0.025,0.0107,0.094,0.0282,0.0075,7.84,0.445,0.569,0.109,0.397,0.083,0.018,0.013,0.084,0.066,0.016,0.049,0.007,0.047,0.009,0.018,0.001,0.01,0.005,0.157,0.005,0.0342,0.068
584537W,240004,424215,7.6,167,39.01,6.51,16.355,8.804,1.582,0.01,0.005,0.05,0.018,0.662,0.0069,2.5,11.03,2.86,62.6,2121,0.0153,3.56,1.995,17.41,1.101,0.224,0.332,80.68,366.6,0.598,2.55,3.77,1.505,0.005,0.35,0.15,1.11,76.37,0.4689,0.341,0.0075,0.076,0.025,0.0187,0.088,0.0536,0.0019,6.69,0.507,0.634,0.127,0.49,0.099,0.025,0.014,0.105,0.07,0.014,0.046,0.006,0.042,0.008,0.019,0.001,0.01,0.005,0.097,0.005,0.0237,0.072
584539W,242100,424741,7.95,123,33.16,5.77,13.166,4.605,2.214,0.03,0.005,0.05,0.005,0.343,0.0045,2.5,9.47,1.935,57.8,1677,0.0162,2.07,1.341,11.89,1.202,0.222,0.332,4.53,228.8,0.112,0.99,2.514,0.864,0.005,0.24,0.189,0.992,62.164,0.4082,0.182,0.005,0.031,0.025,0.0074,0.09,0.0435,0.0015,7.79,0.401,0.599,0.106,0.412,0.081,0.023,0.011,0.088,0.062,0.012,0.04,0.006,0.039,0.007,0.012,0.001,0.01,0.005,0.073,0.005,0.0135,0.051
584540W,249570,428659,7.97,233,80.47,11.59,16.341,12.93,3.411,0.06,0.005,0.05,0.035,0.628,0.0065,2.5,11.4,3.88,91.8,2067,0.0387,5.23,2.842,28.99,1.968,0.582,0.578,29.11,778.1,0.518,2.99,5.53,2.125,0.01,0.64,0.212,1.77,143.499,0.6142,0.364,0.0116,0.11,0.025,0.0115,0.103,0.0846,0.0028,5.87,0.568,0.889,0.154,0.608,0.13,0.03,0.02,0.14,0.102,0.021,0.06,0.008,0.054,0.009,0.021,0.001,0.01,0.005,0.182,0.005,0.0247,0.099
584543W,246355,424723,7.48,191,42.67,13.07,19.995,10.151,2.594,0.08,0.005,0.05,0.01,0.751,0.0252,2.5,12.81,3.391,102.7,2262,0.0322,4.11,2.955,18.9,1.72,0.495,0.991,77.2,758.6,2.32,8.66,9.052,14.619,0.012,0.62,0.269,1.705,89.036,1.2272,2.142,0.0121,0.185,0.025,0.0262,0.092,0.1215,0.0111,9.92,0.565,1.219,0.198,0.842,0.215,0.056,0.039,0.258,0.211,0.043,0.137,0.019,0.133,0.024,0.057,0.001,0.01,0.012,0.276,0.005,0.0672,0.109
584545W,225340,421881,7.82,258,68.28,11.57,27.224,8.651,3.136,0.12,0.005,0.05,0.06,0.294,0.0066,2.5,15.66,3.956,68.4,1606,0.0585,3.67,5.762,26.95,1.795,0.24,0.347,58.42,527.2,0.588,4.06,4.243,1.781,0.005,1.39,0.229,2.814,125.664,0.3732,0.827,0.0081,0.188,0.025,0.0165,0.129,0.0821,0.0025,5.89,0.174,0.276,0.05,0.193,0.045,0.011,0.009,0.057,0.055,0.012,0.039,0.006,0.042,0.007,0.027,0.001,0.01,0.005,0.231,0.005,0.0746,0.272
584546W,229653,428976,7,317,87.78,10.73,25.33,19.542,1.354,0.16,0.005,0.05,0.021,0.311,0.0053,2.5,15.22,4.411,40.7,2179,0.0203,7.81,3.44,38.21,0.857,0.148,0.206,626.55,690.1,1.236,2.84,1.566,1.787,0.019,0.46,0.152,1.971,162.822,0.2851,0.43,0.0059,0.185,0.025,0.0101,0.11,0.0447,0.0013,8.93,0.153,0.258,0.036,0.127,0.031,0.007,0.005,0.034,0.032,0.008,0.03,0.004,0.032,0.006,0.014,0.001,0.01,0.033,0.085,0.013,0.0356,0.409
584547W,226668,430164,6.66,86,7.92,13.22,15.016,1.843,0.08,0.04,0.005,0.05,0.005,0.354,0.0117,2.5,9.36,1.177,156.5,949,0.0079,0.89,0.563,5.35,1.981,0.226,0.205,27.02,427.9,0.183,0.94,6.555,3.881,0.005,0.2,0.118,0.934,29.621,0.3331,0.111,0.0048,0.015,0.025,0.0061,0.105,0.0313,0.0037,2.45,0.392,0.336,0.082,0.287,0.049,0.01,0.008,0.055,0.041,0.009,0.028,0.004,0.026,0.004,0.005,0.001,0.01,0.012,0.094,0.005,0.0165,0.025
584548W,220809,424249,6.75,112,42.67,18.58,30.405,9.171,0.572,0.11,0.005,0.05,0.015,0.589,0.0093,2.5,18.36,3.121,131.5,3134,0.0254,3.76,1.491,22.65,1.442,0.338,0.25,132.27,616.3,0.44,1.75,0.991,1.117,0.005,0.4,0.14,1.678,147.662,0.2765,0.272,0.007,0.075,0.025,0.0053,0.072,0.0351,0.0037,13.65,0.126,0.19,0.036,0.128,0.033,0.008,0.006,0.037,0.035,0.008,0.029,0.004,0.031,0.005,0.011,0.001,0.01,0.005,0.186,0.005,0.0174,0.04
584549W,246517,425402,7.25,153,20.48,24.77,21.248,7.11,1.399,0.04,0.005,0.05,0.056,1.16,0.0343,2.5,13.09,3.652,234.8,2672,0.0394,3.25,1.886,13.81,2.499,0.775,0.905,93.86,2138.7,4.972,9.04,3.747,7.291,0.011,1.96,0.167,1.065,64.631,1.0153,1.592,0.0095,0.084,0.025,0.0289,0.124,0.0631,0.0091,10.4,0.561,1.252,0.179,0.735,0.18,0.055,0.031,0.214,0.164,0.034,0.106,0.015,0.107,0.02,0.043,0.001,0.01,0.005,0.603,0.005,0.0683,0.077
584550W,226372,422098,7.39,211,3.78,13.67,23.387,5.287,0.025,0.1,0.005,0.05,0.077,0.326,0.0098,2.5,13.3,3.279,139.6,1429,0.1627,2.49,4.203,21.43,3.317,0.432,0.448,68.75,537.1,0.724,2.77,4.459,12.685,0.012,1.45,0.216,2.33,102.78,0.5485,0.853,0.0123,0.215,0.025,0.0156,0.133,0.079,0.0054,5.61,0.327,0.582,0.092,0.343,0.078,0.019,0.014,0.095,0.082,0.017,0.057,0.008,0.057,0.01,0.025,0.001,0.01,0.005,0.35,0.005,0.1002,0.182
584551W,249178,434021,7.4,109,27.19,17.24,13.742,2.217,0.025,0.1,0.005,0.05,0.005,0.822,0.0125,2.5,9.02,2.959,199.6,1342,0.0177,1.26,0.649,7.14,3.057,0.492,0.543,120.93,1458.7,1.01,1.84,2.607,3.623,0.005,0.51,0.14,0.747,27.78,0.717,0.319,0.0076,0.056,0.025,0.0156,0.115,0.0404,0.0033,11.93,0.521,0.944,0.147,0.578,0.124,0.033,0.02,0.144,0.106,0.022,0.069,0.01,0.064,0.009,0.005,0.001,0.01,0.005,0.289,0.005,0.0311,0.052
